Product,Unit of Measurement,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Dry or fresh pasta,per kilogram,7.32,6.00,7.58,6.50,7.50,8.16,8.02,7.36,7.12,7.06,8.34,7.40
Brown rice,per kilogram,6.68,6.77,6.44,6.23,6.74,6.59,6.24,6.54,6.66,6.27,6.41,6.11
White rice,per kilogram,5.87,5.95,5.63,5.47,5.77,5.75,5.81,5.60,5.53,5.68,5.63,5.62
Cereal,per kilogram,10.75,10.63,11.10,10.73,11.00,11.03,11.13,11.15,11.20,11.45,11.00,11.05
Wheat flour,per kilogram,2.88,2.60,2.65,2.74,2.58,2.88,2.61,2.83,2.40,3.01,2.70,2.69
White sugar,per kilogram,1.24,1.23,1.52,1.24,1.32,1.14,1.16,1.27,1.31,1.34,1.55,1.20
Apple juice,per liter,1.68,1.78,1.74,1.75,1.75,1.96,1.88,2.01,2.01,1.98,1.93,2.02
Orange juice,per liter,2.13,2.18,2.21,2.23,2.20,2.44,2.27,2.49,2.43,2.51,2.51,2.48
Roasted or ground coffee,per kilogram,19.94,20.03,20.15,21.29,21.79,20.94,21.18,22.15,22.88,23.68,22.53,21.47
Tea,20 bags,4.64,4.28,4.43,4.54,4.50,4.40,4.60,4.71,4.61,4.90,4.80,4.73
Vegetable oil,per liter,1.46,1.37,1.44,1.46,1.48,1.56,1.54,1.55,1.63,1.38,1.59,3.89
Canola oil,per liter,4.22,4.47,4.79,4.15,3.78,4.33,4.03,4.47,4.65,4.01,4.31,4.99
Olive oil,1 liter,17.12,17.59,16.74,15.47,17.24,16.67,16.65,17.31,17.50,16.25,14.82,13.90
Baby food,per liter,62.89,79.69,84.69,78.36,73.83,87.03,93.13,97.27,100.31,95.31,115.16,14.77
Infant formula,per kilogram,1.91,1.94,1.97,1.99,1.99,2.03,1.99,2.07,2.04,2.09,2.12,46.56
Peanut butter,per kilogram,36.63,36.17,36.45,38.03,37.96,40.12,42.70,44.35,44.61,40.91,42.53,6.24
Ketchup,1 liter,5.47,5.48,5.61,5.50,5.85,6.34,6.32,6.17,6.72,6.29,6.24,4.70
Mayonnaise,per liter,6.69,5.88,6.22,6.30,6.76,7.02,6.66,6.65,7.01,7.12,6.71,6.76
Canned salmon,per kilogram,19.34,22.35,20.00,19.62,19.81,23.29,21.92,22.82,21.17,22.86,22.96,22.25
Canned tuna,per kilogram,11.88,10.65,12.71,10.47,11.76,11.59,11.71,11.65,12.24,11.65,12.65,12.65
Canned baked beans,per liter,4.60,4.35,4.37,4.60,4.85,4.37,4.82,4.70,4.42,4.72,4.92,5.00
Canned tomatoes,per liter,2.30,2.06,2.53,2.26,2.58,2.42,2.42,2.70,2.86,2.74,2.74,2.51
Canned soup,per liter,5.81,4.01,6.20,4.54,5.85,5.63,6.58,5.39,5.32,6.09,4.19,4.93
Canned beans and lentils,per liter,3.13,3.17,3.33,3.46,3.52,3.46,3.67,3.54,3.65,3.72,3.35,3.28
Canned corn,per liter,3.93,4.55,3.55,4.13,5.51,4.46,4.28,5.10,5.19,5.37,5.28,4.55
Canned peach,per liter,6.56,6.46,6.13,6.88,7.31,8.19,7.54,7.41,7.46,7.24,7.21,7.36
Canned pear,per liter,6.51,6.48,6.28,6.91,7.19,6.76,6.91,7.04,7.41,7.26,7.41,7.59
Dried lentils,per kilogram,4.21,4.29,4.44,4.53,4.34,4.38,4.42,4.47,4.51,4.42,4.44,4.47
Dry beans and legumes,per kilogram,3.59,3.68,3.79,3.82,3.84,3.83,3.72,3.84,3.91,3.89,3.80,3.79
Tofu,per kilogram,8.71,8.91,8.17,8.20,8.51,8.14,7.89,7.94,8.14,8.11,8.09,7.86
Hummus,per kilogram,16.61,16.34,16.21,15.51,16.96,17.44,17.62,17.18,17.53,17.80,18.06,17.75
Salsa,per liter,10.07,10.24,10.26,10.55,10.72,10.81,11.51,11.48,11.34,11.56,11.63,11.41
Pasta sauce,per liter,4.86,3.72,4.74,4.43,4.45,4.85,3.57,4.55,4.42,4.58,5.12,3.66
Salad dressing,per liter,7.07,7.26,7.03,7.45,7.98,8.11,7.75,7.77,7.31,7.56,7.81,7.79
Almonds,per kilogram,28.15,27.45,26.80,28.95,28.00,26.90,26.55,27.00,28.50,28.75,26.20,24.60
Peanuts,per kilogram,7.29,8.36,7.67,7.98,8.04,8.36,8.07,8.13,7.73,8.40,8.44,8.76
Sunflower seeds,per kilogram,12.02,11.35,11.83,11.40,12.25,13.17,12.17,12.88,12.45,13.30,13.15,11.90
Deodorant,per kilogram,75.65,75.29,73.88,81.18,76.82,78.47,85.65,86.12,83.53,83.06,84.12,83.41
Toothpaste,per liter,40.40,39.70,41.10,37.00,41.90,37.90,39.60,40.60,40.40,42.40,40.00,43.70
Shampoo,per liter,15.83,15.12,15.20,15.52,14.35,15.55,15.30,16.58,16.70,17.18,16.73,16.67
Laundry detergent,per liter,3.66,3.76,3.91,3.76,4.31,3.59,4.23,3.85,4.37,3.88,4.06,4.13
