Product,Unit of Measurement,Sep-17,Sep-18,Sep-19,Sep-20,Sep-21,Sep-22,Sep-23
Olive oil,1 liter,8.15,8.82,7.35,7.72,8.02,9.29,13.90
Baby food,per liter,10.00,10.70,11.09,12.42,12.27,13.83,14.77
Infant formula,per kilogram,29.24,30.84,31.12,30.19,34.57,37.77,46.56
Peanut butter,per kilogram,4.24,4.50,4.45,4.43,5.06,5.40,6.24
Ketchup,1 liter,3.23,3.37,3.31,3.55,3.37,4.30,4.70
Mayonnaise,per liter,4.36,4.67,4.83,4.82,4.94,6.24,6.76
Canned salmon,per kilogram,13.33,13.94,22.58,22.49,17.93,20.61,22.25
Canned tuna,per kilogram,10.00,10.00,10.65,11.12,9.47,10.88,12.65
Canned baked beans,per liter,3.22,3.12,3.42,3.54,3.62,4.27,5.00
Canned tomatoes,per liter,1.95,1.75,2.14,2.30,2.06,2.14,2.51
Canned soup,per liter,2.92,2.89,2.71,3.06,3.31,4.75,4.93
Canned beans and lentils,per liter,2.46,2.39,2.78,2.87,2.74,3.30,3.28
Canned corn,per liter,3.17,3.26,3.64,4.25,3.90,5.34,4.55
Canned peach,per liter,5.20,5.83,5.40,5.85,5.70,6.63,7.36
Canned pear,per liter,5.05,5.10,5.35,5.98,5.80,6.61,7.59
Dried lentils,per kilogram,3.96,3.62,3.82,3.83,3.80,4.36,4.47
Dry beans and legumes,per kilogram,3.69,3.41,3.54,3.98,3.61,3.86,3.79
Tofu,per kilogram,5.51,6.11,5.83,5.94,7.00,8.69,7.86
Hummus,per kilogram,15.90,15.20,15.86,15.77,15.24,16.96,17.75
Salsa,per liter,8.06,7.75,8.35,8.64,8.71,10.02,11.41
Pasta sauce,per liter,3.00,3.25,3.15,3.32,3.40,4.65,3.66
Salad dressing,per liter,5.39,5.31,5.54,5.85,6.88,7.56,7.79
Almonds,per kilogram,21.70,28.80,27.25,30.00,28.00,29.20,24.60
Peanuts,per kilogram,8.84,8.04,6.62,9.00,7.62,7.80,8.76
Sunflower seeds,per kilogram,12.33,11.37,11.80,12.42,10.58,11.90,11.90
Deodorant,per kilogram,53.88,58.12,57.65,63.53,68.59,74.94,83.41
Toothpaste,per liter,27.30,28.20,31.50,33.80,36.10,42.90,43.70
Shampoo,per liter,12.83,12.55,11.80,13.85,14.15,14.90,16.67
Laundry detergent,per liter,1.79,3.10,2.97,3.01,3.14,3.82,4.13
